name,pos,team,gsis_id
Stone Smartt,TE,NYJ,00-0037475
Josiah Deguara,TE,ARI,00-0036332
Kylen Granson,TE,PHI,00-0036876
Eric Saubert,TE,SEA,00-0033576
Brenden Bates,TE,CLE,00-0039458
Albert Okwuegbunam,TE,LV,00-0036423
Devin Culp,TE,TB,00-0039754
Durham Smythe,TE,CHI,00-0034798
Ben Sims,TE,MIN,00-0038809
James Mitchell,TE,CAR,00-0037282
Malik Nabers,WR,NYG,00-0039337
Jayden Reed,WR,GB,00-0039146
