position,gsis_id,display_name,sleeper_id
WR,00-0038117,Wan'Dale Robinson,8126
WR,00-0038124,Christian Watson,8167
WR,00-0038393,Dontayvion Wicks,9486
WR,00-0038465,Malik Heath,11210
WR,00-0038492,Jason Brownlee,11311
WR,00-0038496,Xavier Gipson,11306
WR,00-0038543,Jaxon Smith-Njigba,9488
WR,00-0038544,Quentin Johnston,9754
WR,00-0038559,Michael Wilson,10232
WR,00-0038563,Tre Tucker,10213
WR,00-0038573,Derius Davis,10234
WR,00-0038576,Charlie Jones,10228
WR,00-0038590,Justin Shorter,9489
TE,00-0024243,Marcedes Lewis,111
TE,00-0030061,Zach Ertz,1339
TE,00-0030506,Travis Kelce,1466
TE,00-0031484,Chris Manhertz,3048
TE,00-0032392,Austin Hooper,3202
TE,00-0032394,Nick Vannett,3258
TE,00-0033090,Hunter Henry,3214
TE,00-0033110,Tyler Higbee,3271
TE,00-0033217,Mo Alie-Cox,4054
TE,00-0033246,Johnny Mundt,4314
TE,00-0033288,George Kittle,4217
TE,00-0033439,Pharaoh Brown,4443
TE,00-0033455,Anthony Firkser,4435
TE,00-0033576,Eric Saubert,4189
TE,00-0033757,Robert Tonyan,4602
TE,00-0033858,Jonnu Smith,4144
TE,00-0033881,Evan Engram,4066
TE,00-0033885,David Njoku,4033
TE,00-0034073,Ross Dwelley,5285
TE,00-0034159,Will Dissly,5010
TE,00-0034270,Tyler Conklin,5133
TE,00-0034351,Dallas Goedert,5022
TE,00-0034364,Jordan Akins,5032
TE,00-0034365,Ian Thomas,4995
TE,00-0034383,Dalton Schultz,5001
TE,00-0034613,Tanner Hudson,5409
TE,00-0034753,Mark Andrews,5012
TE,00-0034798,Durham Smythe,5008
TE,00-0034829,Mike Gesicki,4993
TE,00-0034970,Irv Smith,6126
TE,00-0034981,Foster Moreau,5985
TE,00-0035039,Stephen Carlson,6451
TE,00-0035229,T.J. Hockenson,5844
TE,00-0035249,Josh Oliver,5973
TE,00-0035329,Donald Parham,6074
TE,00-0035631,Drew Sample,6001
TE,00-0035644,Noah Fant,5857
TE,00-0035689,Dawson Knox,5906
TE,00-0036032,Sean McKeon,6964
TE,00-0036040,Juwan Johnson,7002
TE,00-0036145,Lawrence Cager,7106
TE,00-0036225,Dalton Keene,7082
TE,00-0036232,Harrison Bryant,6850
TE,00-0036244,Colby Parkinson,6865
TE,00-0036290,Cole Kmet,6826
TE,00-0036332,Josiah Deguara,7050
TE,00-0036422,Adam Trautman,6869
TE,00-0036423,Albert Okwuegbunam,6843
TE,00-0036429,Charlie Woerner,7075
TE,00-0036510,Kenny Yeboah,7597
TE,00-0036556,Brevin Jordan,7568
TE,00-0036590,Quintin Morris,7536
TE,00-0036628,John Bates,7716
TE,00-0036637,Noah Gray,7828
TE,00-0036741,Jack Stoll,7946
TE,00-0036754,Brock Wright,7891
TE,00-0036876,Kylen Granson,7602
TE,00-0036887,Luke Farrell,7842
TE,00-0036894,Pat Freiermuth,7600
TE,00-0036970,Kyle Pitts,7553
TE,00-0037004,Hunter Long,7535
TE,00-0037005,Tommy Tremble,7694
TE,00-0037078,Cole Turner,8214
TE,00-0037086,Grant Calcaterra,8177
TE,00-0037112,Jake Tonges,8698
TE,00-0037252,Greg Dulcich,8172
TE,00-0037277,Teagan Quitoriano,8227
TE,00-0037282,James Mitchell,8170
TE,00-0037304,Connor Heyward,8181
TE,00-0037311,Ko Kieft,8484
TE,00-0037475,Stone Smartt,8583
TE,00-0037539,Lucas Krull,8249
TE,00-0037744,Trey McBride,8130
TE,00-0037755,Jelani Woods,8219
TE,00-0037805,Jeremy Ruckert,8145
TE,00-0037809,Chig Okonkwo,8210
TE,00-0037838,Isaiah Likely,8131
TE,00-0038041,Jake Ferguson,8110
TE,00-0038046,Charlie Kolar,8127
TE,00-0038115,Daniel Bellinger,8225
TE,00-0038129,Cade Otton,8111
TE,00-0038394,Will Mallory,10220
TE,00-0038547,Luke Schoonmaker,10871
TE,00-0038558,Darnell Washington,9479
TE,00-0038589,Josh Whyle,10212
TE,00-0038783,Nate Adkins,11433
TE,00-0038809,Ben Sims,11082
TE,00-0038933,Dalton Kincaid,10236
TE,00-0038935,Brenton Strange,9480
TE,00-0038996,Tucker Kraft,9484
TE,00-0039041,Elijah Higgins,10231
TE,00-0039050,Payne Durham,10227
TE,00-0039065,Sam LaPorta,10859
TE,00-0039066,Michael Mayer,9482
TE,00-0039074,Davis Allen,10214
TE,00-0039144,Luke Musgrave,9481
TE,00-0039338,Brock Bowers,11604
TE,00-0039356,Ja'Tavion Sanders,11600
TE,00-0039359,Cade Stover,11599
TE,00-0039399,Tanner McLachlan,11598
TE,00-0039420,Jaheim Bell,11605
TE,00-0039530,Brevyn Spann-Ford,11593
TE,00-0039737,Tip Reiman,11716
TE,00-0039754,Devin Culp,11820
